Rainfall - (MM), Year, Statistics, Country, ISO3
264.2, 1944, Jan Average, Indonesia, IDN
262.6, 1944, Feb Average, Indonesia, IDN
278.7, 1944, Mar Average, Indonesia, IDN
265.9, 1944, Apr Average, Indonesia, IDN
248.2, 1944, May Average, Indonesia, IDN
185.5, 1944, Jun Average, Indonesia, IDN
154.5, 1944, Jul Average, Indonesia, IDN
156.9, 1944, Aug Average, Indonesia, IDN
178.5, 1944, Sep Average, Indonesia, IDN
204.2, 1944, Oct Average, Indonesia, IDN
252.3, 1944, Nov Average, Indonesia, IDN
269.8, 1944, Dec Average, Indonesia, IDN
273.3, 1945, Jan Average, Indonesia, IDN
266.6, 1945, Feb Average, Indonesia, IDN
297.8, 1945, Mar Average, Indonesia, IDN
270.8, 1945, Apr Average, Indonesia, IDN
239.1, 1945, May Average, Indonesia, IDN
178.7, 1945, Jun Average, Indonesia, IDN
165.8, 1945, Jul Average, Indonesia, IDN
172.5, 1945, Aug Average, Indonesia, IDN
190.6, 1945, Sep Average, Indonesia, IDN
232.2, 1945, Oct Average, Indonesia, IDN
253.3, 1945, Nov Average, Indonesia, IDN
283.3, 1945, Dec Average, Indonesia, IDN
281.0, 1946, Jan Average, Indonesia, IDN
253.7, 1946, Feb Average, Indonesia, IDN
284.2, 1946, Mar Average, Indonesia, IDN
269.5, 1946, Apr Average, Indonesia, IDN
227.3, 1946, May Average, Indonesia, IDN
178.7, 1946, Jun Average, Indonesia, IDN
157.2, 1946, Jul Average, Indonesia, IDN
162.0, 1946, Aug Average, Indonesia, IDN
181.4, 1946, Sep Average, Indonesia, IDN
200.3, 1946, Oct Average, Indonesia, IDN
242.9, 1946, Nov Average, Indonesia, IDN
283.7, 1946, Dec Average, Indonesia, IDN
273.2, 1947, Jan Average, Indonesia, IDN
262.3, 1947, Feb Average, Indonesia, IDN
311.9, 1947, Mar Average, Indonesia, IDN
289.8, 1947, Apr Average, Indonesia, IDN
217.3, 1947, May Average, Indonesia, IDN
177.7, 1947, Jun Average, Indonesia, IDN
180.0, 1947, Jul Average, Indonesia, IDN
203.9, 1947, Aug Average, Indonesia, IDN
206.0, 1947, Sep Average, Indonesia, IDN
219.1, 1947, Oct Average, Indonesia, IDN
236.8, 1947, Nov Average, Indonesia, IDN
307.8, 1947, Dec Average, Indonesia, IDN
293.9, 1948, Jan Average, Indonesia, IDN
279.5, 1948, Feb Average, Indonesia, IDN
330.7, 1948, Mar Average, Indonesia, IDN
254.9, 1948, Apr Average, Indonesia, IDN
241.2, 1948, May Average, Indonesia, IDN
185.4, 1948, Jun Average, Indonesia, IDN
181.1, 1948, Jul Average, Indonesia, IDN
176.4, 1948, Aug Average, Indonesia, IDN
186.0, 1948, Sep Average, Indonesia, IDN
185.4, 1948, Oct Average, Indonesia, IDN
277.9, 1948, Nov Average, Indonesia, IDN
262.2, 1948, Dec Average, Indonesia, IDN
276.7, 1949, Jan Average, Indonesia, IDN
252.5, 1949, Feb Average, Indonesia, IDN
256.0, 1949, Mar Average, Indonesia, IDN
288.5, 1949, Apr Average, Indonesia, IDN
