tasmax, Year, Statistics, Country, ISO3
-4.2, 1951, Apr Average, Canada, CAN
5.2, 1951, May Average, Canada, CAN
11.4, 1951, Jun Average, Canada, CAN
16.0, 1951, Jul Average, Canada, CAN
14.1, 1951, Aug Average, Canada, CAN
7.6, 1951, Sep Average, Canada, CAN
-2.3, 1951, Oct Average, Canada, CAN
-11.1, 1951, Nov Average, Canada, CAN
-20.1, 1951, Dec Average, Canada, CAN
-22.5, 1952, Jan Average, Canada, CAN
-18.1, 1952, Feb Average, Canada, CAN
-13.4, 1952, Mar Average, Canada, CAN
-2.1, 1952, Apr Average, Canada, CAN
6.3, 1952, May Average, Canada, CAN
11.9, 1952, Jun Average, Canada, CAN
15.9, 1952, Jul Average, Canada, CAN
