tasmax, Year, Statistics, Country, ISO3
20.5, 1951, Jun Average, Germany, DEU
22.5, 1951, Jul Average, Germany, DEU
22.6, 1951, Aug Average, Germany, DEU
19.9, 1951, Sep Average, Germany, DEU
12.7, 1951, Oct Average, Germany, DEU
9.4, 1951, Nov Average, Germany, DEU
5.1, 1951, Dec Average, Germany, DEU
2.3, 1952, Jan Average, Germany, DEU
2.6, 1952, Feb Average, Germany, DEU
6.8, 1952, Mar Average, Germany, DEU
16.2, 1952, Apr Average, Germany, DEU
17.5, 1952, May Average, Germany, DEU
20.7, 1952, Jun Average, Germany, DEU
24.0, 1952, Jul Average, Germany, DEU
23.4, 1952, Aug Average, Germany, DEU
15.0, 1952, Sep Average, Germany, DEU
10.7, 1952, Oct Average, Germany, DEU
4.2, 1952, Nov Average, Germany, DEU
1.7, 1952, Dec Average, Germany, DEU
1.1, 1953, Jan Average, Germany, DEU
2.9, 1953, Feb Average, Germany, DEU
10.0, 1953, Mar Average, Germany, DEU
14.9, 1953, Apr Average, Germany, DEU
18.8, 1953, May Average, Germany, DEU
21.0, 1953, Jun Average, Germany, DEU
22.6, 1953, Jul Average, Germany, DEU
22.2, 1953, Aug Average, Germany, DEU
19.3, 1953, Sep Average, Germany, DEU
14.8, 1953, Oct Average, Germany, DEU
