Rainfall - (MM), Year, Statistics, Country, ISO3
121.4, 1950, Nov Average, France, FRA
90.3, 1950, Dec Average, France, FRA
71.9, 1951, Jan Average, France, FRA
96.8, 1951, Feb Average, France, FRA
90.9, 1951, Mar Average, France, FRA
56.9, 1951, Apr Average, France, FRA
116.1, 1951, May Average, France, FRA
96.6, 1951, Jun Average, France, FRA
49.6, 1951, Jul Average, France, FRA
101.1, 1951, Aug Average, France, FRA
69.4, 1951, Sep Average, France, FRA
64.2, 1951, Oct Average, France, FRA
126.6, 1951, Nov Average, France, FRA
56.2, 1951, Dec Average, France, FRA
83.7, 1952, Jan Average, France, FRA
48.4, 1952, Feb Average, France, FRA
77.9, 1952, Mar Average, France, FRA
44.8, 1952, Apr Average, France, FRA
55.2, 1952, May Average, France, FRA
35.6, 1952, Jun Average, France, FRA
33.5, 1952, Jul Average, France, FRA
81.0, 1952, Aug Average, France, FRA
101.4, 1952, Sep Average, France, FRA
113.7, 1952, Oct Average, France, FRA
111.2, 1952, Nov Average, France, FRA
105.8, 1952, Dec Average, France, FRA
19.2, 1953, Jan Average, France, FRA
36.1, 1953, Feb Average, France, FRA
7.1, 1953, Mar Average, France, FRA
57.5, 1953, Apr Average, France, FRA
39.5, 1953, May Average, France, FRA
114.0, 1953, Jun Average, France, FRA
69.6, 1953, Jul Average, France, FRA
38.3, 1953, Aug Average, France, FRA
91.3, 1953, Sep Average, France, FRA
73.6, 1953, Oct Average, France, FRA
23.3, 1953, Nov Average, France, FRA
37.2, 1953, Dec Average, France, FRA
46.7, 1954, Jan Average, France, FRA
63.2, 1954, Feb Average, France, FRA
74.9, 1954, Mar Average, France, FRA
42.8, 1954, Apr Average, France, FRA
66.3, 1954, May Average, France, FRA
57.8, 1954, Jun Average, France, FRA
53.9, 1954, Jul Average, France, FRA
108.3, 1954, Aug Average, France, FRA
79.2, 1954, Sep Average, France, FRA
54.5, 1954, Oct Average, France, FRA
67.6, 1954, Nov Average, France, FRA
81.0, 1954, Dec Average, France, FRA
137.8, 1955, Jan Average, France, FRA
97.1, 1955, Feb Average, France, FRA
33.6, 1955, Mar Average, France, FRA
7.7, 1955, Apr Average, France, FRA
61.5, 1955, May Average, France, FRA
99.4, 1955, Jun Average, France, FRA
63.4, 1955, Jul Average, France, FRA
44.1, 1955, Aug Average, France, FRA
51.6, 1955, Sep Average, France, FRA
61.5, 1955, Oct Average, France, FRA
45.0, 1955, Nov Average, France, FRA
94.6, 1955, Dec Average, France, FRA
80.7, 1956, Jan Average, France, FRA
24.1, 1956, Feb Average, France, FRA
58.9, 1956, Mar Average, France, FRA
69.3, 1956, Apr Average, France, FRA
62.4, 1956, May Average, France, FRA
58.5, 1956, Jun Average, France, FRA
81.2, 1956, Jul Average, France, FRA
96.9, 1956, Aug Average, France, FRA
93.4, 1956, Sep Average, France, FRA
61.9, 1956, Oct Average, France, FRA
45.1, 1956, Nov Average, France, FRA
45.8, 1956, Dec Average, France, FRA
35.1, 1957, Jan Average, France, FRA
113.7, 1957, Feb Average, France, FRA
36.2, 1957, Mar Average, France, FRA
55.8, 1957, Apr Average, France, FRA
60.2, 1957, May Average, France, FRA
107.4, 1957, Jun Average, France, FRA
67.1, 1957, Jul Average, France, FRA
61.8, 1957, Aug Average, France, FRA
68.9, 1957, Sep Average, France, FRA
34.9, 1957, Oct Average, France, FRA
65.1, 1957, Nov Average, France, FRA
70.6, 1957, Dec Average, France, FRA
86.6, 1958, Jan Average, France, FRA
77.6, 1958, Feb Average, France, FRA
66.1, 1958, Mar Average, France, FRA
51.9, 1958, Apr Average, France, FRA
84.4, 1958, May Average, France, FRA
87.4, 1958, Jun Average, France, FRA
73.2, 1958, Jul Average, France, FRA
85.3, 1958, Aug Average, France, FRA
78.3, 1958, Sep Average, France, FRA
67.5, 1958, Oct Average, France, FRA
68.0, 1958, Nov Average, France, FRA
115.8, 1958, Dec Average, France, FRA
75.9, 1959, Jan Average, France, FRA
