Temperature - (Celsius), Year, Statistics, Country, ISO3
18.3, 1944, Dec Average, India, IND
16.1, 1945, Jan Average, India, IND
18.5, 1945, Feb Average, India, IND
24.0, 1945, Mar Average, India, IND
26.7, 1945, Apr Average, India, IND
29.9, 1945, May Average, India, IND
29.7, 1945, Jun Average, India, IND
26.9, 1945, Jul Average, India, IND
26.7, 1945, Aug Average, India, IND
26.1, 1945, Sep Average, India, IND
24.1, 1945, Oct Average, India, IND
20.1, 1945, Nov Average, India, IND
16.5, 1945, Dec Average, India, IND
17.3, 1946, Jan Average, India, IND
20.2, 1946, Feb Average, India, IND
23.7, 1946, Mar Average, India, IND
28.1, 1946, Apr Average, India, IND
30.0, 1946, May Average, India, IND
28.8, 1946, Jun Average, India, IND
26.9, 1946, Jul Average, India, IND
26.4, 1946, Aug Average, India, IND
26.2, 1946, Sep Average, India, IND
25.0, 1946, Oct Average, India, IND
20.8, 1946, Nov Average, India, IND
18.0, 1946, Dec Average, India, IND
16.9, 1947, Jan Average, India, IND
19.4, 1947, Feb Average, India, IND
24.2, 1947, Mar Average, India, IND
28.3, 1947, Apr Average, India, IND
30.6, 1947, May Average, India, IND
30.2, 1947, Jun Average, India, IND
27.2, 1947, Jul Average, India, IND
26.9, 1947, Aug Average, India, IND
26.0, 1947, Sep Average, India, IND
23.7, 1947, Oct Average, India, IND
21.1, 1947, Nov Average, India, IND
17.8, 1947, Dec Average, India, IND
17.4, 1948, Jan Average, India, IND
19.2, 1948, Feb Average, India, IND
23.2, 1948, Mar Average, India, IND
28.3, 1948, Apr Average, India, IND
30.7, 1948, May Average, India, IND
29.8, 1948, Jun Average, India, IND
27.2, 1948, Jul Average, India, IND
26.3, 1948, Aug Average, India, IND
26.1, 1948, Sep Average, India, IND
25.0, 1948, Oct Average, India, IND
20.8, 1948, Nov Average, India, IND
17.1, 1948, Dec Average, India, IND
17.8, 1949, Jan Average, India, IND
19.0, 1949, Feb Average, India, IND
24.0, 1949, Mar Average, India, IND
27.9, 1949, Apr Average, India, IND
30.1, 1949, May Average, India, IND
29.1, 1949, Jun Average, India, IND
26.9, 1949, Jul Average, India, IND
26.5, 1949, Aug Average, India, IND
26.4, 1949, Sep Average, India, IND
24.7, 1949, Oct Average, India, IND
19.7, 1949, Nov Average, India, IND
16.9, 1949, Dec Average, India, IND
17.5, 1950, Jan Average, India, IND
18.2, 1950, Feb Average, India, IND
22.8, 1950, Mar Average, India, IND
27.2, 1950, Apr Average, India, IND
30.2, 1950, May Average, India, IND
29.4, 1950, Jun Average, India, IND
26.7, 1950, Jul Average, India, IND
26.4, 1950, Aug Average, India, IND
25.8, 1950, Sep Average, India, IND
24.2, 1950, Oct Average, India, IND
19.8, 1950, Nov Average, India, IND
16.8, 1950, Dec Average, India, IND
16.5, 1951, Jan Average, India, IND
18.9, 1951, Feb Average, India, IND
23.7, 1951, Mar Average, India, IND
26.6, 1951, Apr Average, India, IND
29.8, 1951, May Average, India, IND
29.2, 1951, Jun Average, India, IND
27.6, 1951, Jul Average, India, IND
26.6, 1951, Aug Average, India, IND
26.7, 1951, Sep Average, India, IND
26.1, 1951, Oct Average, India, IND
21.6, 1951, Nov Average, India, IND
17.8, 1951, Dec Average, India, IND
17.8, 1952, Jan Average, India, IND
20.5, 1952, Feb Average, India, IND
23.3, 1952, Mar Average, India, IND
28.4, 1952, Apr Average, India, IND
30.4, 1952, May Average, India, IND
29.4, 1952, Jun Average, India, IND
27.2, 1952, Jul Average, India, IND
26.2, 1952, Aug Average, India, IND
26.4, 1952, Sep Average, India, IND
24.9, 1952, Oct Average, India, IND
20.4, 1952, Nov Average, India, IND
18.1, 1952, Dec Average, India, IND
16.8, 1953, Jan Average, India, IND
20.7, 1953, Feb Average, India, IND
25.8, 1953, Mar Average, India, IND
28.3, 1953, Apr Average, India, IND
30.8, 1953, May Average, India, IND
30.0, 1953, Jun Average, India, IND
27.1, 1953, Jul Average, India, IND
26.3, 1953, Aug Average, India, IND
26.2, 1953, Sep Average, India, IND
24.6, 1953, Oct Average, India, IND
20.5, 1953, Nov Average, India, IND
18.6, 1953, Dec Average, India, IND
16.4, 1954, Jan Average, India, IND
20.3, 1954, Feb Average, India, IND
24.0, 1954, Mar Average, India, IND
28.5, 1954, Apr Average, India, IND
31.0, 1954, May Average, India, IND
29.5, 1954, Jun Average, India, IND
27.1, 1954, Jul Average, India, IND
26.7, 1954, Aug Average, India, IND
25.9, 1954, Sep Average, India, IND
23.4, 1954, Oct Average, India, IND
20.1, 1954, Nov Average, India, IND
17.5, 1954, Dec Average, India, IND
17.2, 1955, Jan Average, India, IND
19.8, 1955, Feb Average, India, IND
24.9, 1955, Mar Average, India, IND
26.7, 1955, Apr Average, India, IND
29.4, 1955, May Average, India, IND
29.4, 1955, Jun Average, India, IND
27.1, 1955, Jul Average, India, IND
26.0, 1955, Aug Average, India, IND
26.0, 1955, Sep Average, India, IND
24.1, 1955, Oct Average, India, IND
20.0, 1955, Nov Average, India, IND
17.4, 1955, Dec Average, India, IND
17.1, 1956, Jan Average, India, IND
